DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:22.8,32.90813933,-80.10049238,32.414,35.7,1018.913,206.358924,353.253949,4.021849,-9.344771,24.574724,84.844696,0.096736,0.108285,0.940913,0.325332,0.196111,0.689398,go_up
42:22.9,32.90813933,-80.10049238,32.45,35.956,1018.923,213.148023,358.11165,1.099698,-6.505404,25.436735,84.514023,0.093827,-0.177542,1.346913,0.120997,0.64357,0.54218,go_up
42:23.1,32.90813933,-80.10049238,32.432,35.807,1018.923,224.867098,359.532932,359.245359,-5.179047,25.296881,84.393753,0.016729,0.068953,0.747175,-0.026527,-0.282807,0.812793,go_up
42:23.3,32.90813933,-80.10049238,32.325,36.278,1018.934,236.111652,358.508719,359.689157,-2.341386,24.451075,83.158745,0.118314,0.096874,0.88462,0.117332,-0.211947,1.06508,go_up
42:23.4,32.90812693,-80.10049421,32.308,35.7,1018.941,245.287997,357.272179,359.328302,1.634388,23.645729,83.181175,0.24487,-0.071403,1.232375,-0.449856,0.464281,0.751401,go_up
42:23.6,32.90812693,-80.10049421,32.343,35.714,1018.94,253.509209,2.257571,356.434399,4.035555,22.896255,82.630821,-0.031101,-0.134604,0.99867,-0.238191,0.544304,0.642667,go_up
42:23.8,32.90812693,-80.10049421,32.414,36.268,1018.938,257.112537,3.82761,357.230855,5.295035,21.848835,81.488838,0.01091,0.190107,0.684545,0.349766,0.080658,0.053182,go_up
42:23.9,32.90812693,-80.10049421,32.308,35.381,1018.939,261.952348,7.093557,2.126038,6.182563,21.144493,80.936043,0.109586,0.171412,1.119056,0.766682,-0.375353,-0.92573,go_up
42:24.1,32.90812693,-80.10049421,32.361,35.966,1018.943,253.359621,4.963952,8.064317,6.131941,21.390684,80.731911,0.150074,0.253475,0.860981,-0.029886,-0.751646,-0.362817,go_up
42:24.3,32.90812693,-80.10049421,32.272,35.554,1018.952,245.48444,2.201697,9.024428,5.382754,21.857731,80.560516,0.161469,0.103915,0.629225,0.138102,-0.161245,-0.341132,go_up
42:24.4,32.90812693,-80.10049421,32.166,35.886,1018.956,241.00592,1.364223,8.682255,5.159731,21.567829,80.222412,0.154438,0.07915,1.048384,0.333578,0.266055,-0.125496,go_up
42:24.6,32.90812693,-80.10049421,32.095,35.767,1018.952,241.972214,2.865045,7.194196,4.510565,21.878672,79.665184,-0.003209,0.003885,1.17535,0.467358,-0.360387,-0.850593,go_up
42:24.8,32.90812693,-80.10049421,31.988,35.385,1018.951,241.558236,0.897607,6.330067,3.530153,21.728962,80.318336,0.113707,0.112656,0.720855,-0.334097,-0.484393,-0.34724,go_up
42:24.9,32.90812209,-80.10049604,32.006,36.086,1018.949,236.194639,359.245052,4.597948,2.86714,20.950159,80.507889,0.118314,0.125281,0.836368,-0.35731,0.029956,-0.474606,go_up
